epoch,lr,loss,dice,val_loss,val_dice
0,0.001,11.712974571600192,0.002588106245492997,11.084877014160156,0.0024758717956020605
1,0.001,10.692972485612078,0.002761434165777987,10.466398133171928,0.002844749058741841
2,0.001,10.318075715041742,0.0042811748514663735,10.169430202907986,0.004158108552320746
3,0.001,10.131930537340118,0.01079191196152083,10.0433988571167,0.015600425749637745
4,0.001,9.91190367210202,0.028345240314904728,9.970825831095377,0.03538892017853339
5,0.001,9.283326823536942,0.08881836343811184,9.163283771938747,0.11413798781643204
6,0.001,8.28099513053894,0.22170074948063964,8.995836893717447,0.18055935732236011
7,0.001,7.551553476147536,0.33226564168290285,8.951214260525173,0.17099986212433108
8,0.001,7.423653986395859,0.34088933331297006,8.438234011332193,0.222617619051019
9,0.001,7.156390411097829,0.39314901193371554,7.611312389373779,0.4076516594043749
10,0.001,6.989051382716109,0.4066925140700218,7.495233217875163,0.39719209050744725
11,0.001,7.032551149042641,0.39466873974639616,7.132319556342231,0.43237225606166085
12,0.001,6.7780713511676325,0.4567110270581233,7.376824273003472,0.4354509460302646
13,0.001,6.744328615142078,0.4486312752671947,8.12172301610311,0.3135973085090113
14,0.001,6.724181535767346,0.4582206612930721,7.343747085995144,0.41369048263069136
15,0.001,6.645694424466389,0.4628687741144507,7.321617974175347,0.4226012555195442
16,0.001,6.643189488387689,0.461677810898332,6.938927703433567,0.4458630362360005
17,0.001,6.626375547269496,0.4594703954011981,7.587052186330159,0.39577731328785914
18,0.001,6.570153207313724,0.47515781840339,6.95143625471327,0.43472631064044687
19,0.001,6.502583477555252,0.5014468937284429,6.884904437594944,0.4811159155867945
20,0.001,6.502424815805947,0.49727208838505016,7.308749940660265,0.44610021103288794
21,0.001,6.513092669045053,0.49634829478022874,6.885764439900716,0.46300953480632984
22,0.001,6.535774135008091,0.478201014737731,7.098428726196289,0.464405579760913
23,0.001,6.458714333976188,0.4964544818371351,6.992182837592231,0.4771397007176229
24,0.001,6.4372119089452235,0.4997272917357385,6.830393844180637,0.47616113570594426
25,0.001,6.374865450510165,0.5087124656401676,6.842750655280219,0.4387487203021456
26,0.001,6.368892471964767,0.5168958328876432,6.798238436381022,0.4874147655232544
27,0.001,6.372759743434627,0.5022278780713807,7.420017454359266,0.40290263796815534
28,0.001,6.3346631992154006,0.5112880648485509,6.503174993726942,0.49676910720755324
29,0.001,6.259871285136153,0.5346017384145437,6.8698715103997126,0.49648728272663356
30,0.001,6.282424920942725,0.5313176572345152,6.569108380211724,0.47808075766591585
31,0.001,6.314089109257954,0.5241123894035444,6.576220088534885,0.5293051930670456
32,0.001,6.217429635001392,0.5334683609236167,6.662141905890571,0.5272907336715323
33,0.001,6.240319882951131,0.5277055114023559,6.713259061177571,0.5371597772866604
34,0.001,6.247832763485793,0.5302836501023592,6.62729549407959,0.53555115905407
35,0.001,6.187014344261914,0.5469274516649701,6.596284760369195,0.4923122990450758
36,0.001,6.135595824660324,0.5568289243639709,6.516815185546875,0.5399820422046783
37,0.001,6.102495397009501,0.5584436713343475,6.884128570556641,0.537689451819667
38,0.001,6.134138104392261,0.559104112500753,6.556484434339735,0.5393826406063226
39,0.001,6.140878334278014,0.558587861351238,6.671374850802952,0.5192266374860899
40,0.001,6.1054942898634,0.5622439868416569,6.6077775955200195,0.5133881670756046
41,0.001,6.086694880229671,0.5586616590846357,6.4796761936611595,0.5180477586921006
42,0.001,6.099526082597127,0.5621328731925551,6.643065134684245,0.5071251889156276
43,0.001,6.068145077402999,0.574673391401444,6.811465687221951,0.5312404598116723
44,0.001,6.078801155090332,0.5718374748511159,6.327325661977132,0.5416466899562367
45,0.001,6.028859839206788,0.5677823339270771,6.511652204725477,0.540272567432802
46,0.001,6.006282376080025,0.5860741486330533,6.670569101969401,0.4973161474194746
47,0.001,6.01168300756594,0.5756930648247889,6.597465515136719,0.5298634477757985
48,0.001,5.996362971096504,0.5769888411832643,6.338679843478733,0.5777294895452383
49,0.001,5.971492584158734,0.5951917785099723,6.406719260745579,0.5833251264548336
50,0.001,5.939598714433065,0.600421221909986,6.42512681749132,0.5419452590741782
51,0.001,5.956646948325925,0.5932797417900384,6.253424485524495,0.567729472032605
52,0.001,5.96782988164483,0.5916997167348093,6.231244881947835,0.5751287851198055
53,0.001,5.916832679655494,0.6061569338538279,6.284946653578016,0.5840844471453354
54,0.001,5.896530165904906,0.6116564968958137,6.2306503719753685,0.5753932992839859
55,0.001,5.882344850679723,0.6028644259312639,6.292111184861925,0.5955897222262045
56,0.001,5.892402349448785,0.5984655098810242,6.234632386101617,0.5916852738097188
57,0.001,5.897086422617843,0.6021053934078551,6.282184706793891,0.5775823908907695
58,0.001,5.851507117108601,0.6123970711767978,6.283340719011095,0.5873418330165204
59,0.001,5.856851034048127,0.6085171228833017,6.392497115665012,0.5673336784795091
60,0.001,5.842724619842157,0.617029507585938,6.187040487925212,0.5890962949986571
61,0.001,5.820367106577245,0.6117117967043325,6.355111545986599,0.5915109525222757
62,0.001,5.81057154550785,0.619012971318746,6.3341982629564075,0.5953662256488107
63,0.001,5.796348496181209,0.6258924282649327,6.185691197713216,0.5995484901430638
64,0.001,5.750453178475543,0.6357526765684025,6.184775034586589,0.5839444207479044
65,0.001,5.734879857156335,0.6475712474907049,6.147887600792779,0.6185567168556252
66,0.001,5.7380102233188905,0.636622472333243,6.160704453786214,0.5906316057915862
67,0.001,5.7256017661676175,0.6315825973576846,6.263494491577148,0.5867667128153987
68,0.001,5.71269441523203,0.6472880030066483,6.1396331787109375,0.6223080544308619
69,0.001,5.713876343354946,0.647455046489532,6.112343629201253,0.6097464525172053
70,0.001,5.665743176530047,0.6459786623244232,6.13340589735243,0.6182156430753101
71,0.001,5.680268680177083,0.657578990498722,6.0927060974968805,0.5829421984941625
72,0.001,5.6867419306824845,0.6394345445105618,6.054472075568305,0.6194630227268373
73,0.001,5.6360546844761545,0.6566061502112093,6.102363109588623,0.6093400635439853
74,0.001,5.630099822835224,0.6622260325837698,6.0786112149556475,0.6221797030342411
75,0.001,5.6519148029932165,0.6568449246950424,6.0683369636535645,0.61277428685917
76,0.001,5.633761876966895,0.6645349797110274,6.114725324842665,0.6320271333327216
77,0.001,5.58562122030956,0.6711723643713181,6.076701270209418,0.6268939623072272
78,0.001,5.62810305269753,0.6609533905276117,6.06421618991428,0.6125040281641089
79,0.001,5.583585105291227,0.6779309904674135,6.073602411482069,0.6189718899968404
80,0.001,5.609188905576381,0.6713990870255044,6.05220381418864,0.6279701252502736
81,0.001,5.654413077889419,0.6705037712129135,6.063915252685547,0.6136349972313503
82,0.001,5.596051730760714,0.6713920855013291,6.011147499084473,0.6327720088417992
83,0.001,5.590380107484212,0.6774289331045874,6.056966463724772,0.6303872592081307
84,0.001,5.558996796607971,0.6815218626835432,6.069304731157091,0.6286395174740479
85,0.001,5.571942056097636,0.6825048872831372,6.024602148267958,0.6296153590839053
86,0.001,5.552591931529161,0.6822714289072644,6.024995803833008,0.6318076685538635
87,0.001,5.549540479008744,0.6842275678085523,6.042035473717584,0.6306730529778204
88,0.001,5.537760932271073,0.6930524028654214,6.019744131300184,0.6294147800685193
89,0.001,5.538999243480403,0.6807501979598324,6.041097640991211,0.6242925576080611
90,0.001,5.532468644584098,0.6911944184929012,6.049495855967204,0.6320181456975159
91,0.001,5.508472515315544,0.6920570004105717,6.015805244445801,0.6308114906716172
92,0.001,5.534260467785161,0.6839912424394163,6.036770714653863,0.6330993542831893
93,0.001,5.525331203530475,0.694957597725668,6.039188967810737,0.6383607514718491
94,0.001,5.565250169940111,0.6961845893669629,6.035094261169434,0.6303630473796115
95,0.001,5.543248388825393,0.6842188771571285,6.0305436452229815,0.6263470028244478
96,0.001,5.528163651140725,0.6828456098558123,6.027635627322727,0.6308673885484881
97,0.001,5.519059076541808,0.6841180887220107,6.023234473334418,0.6351781121280262
98,0.001,5.53886259183651,0.6852472623952791,6.022431797451443,0.6290596963403992
99,0.001,5.528586187013766,0.6903865044689075,6.037310388353136,0.6335353065686969
